url,year,percentage
"http://www.trendlist.org/trends/still-life
",2015,6
"http://www.trendlist.org/trends/still-life
",2014,6
"http://www.trendlist.org/trends/still-life
",2013,3
"http://www.trendlist.org/trends/still-life
",2012,3
"http://www.trendlist.org/trends/still-life
",2011,6
"http://www.trendlist.org/trends/still-life
",2010,12
"http://www.trendlist.org/trends/still-life
",2009,18
"http://www.trendlist.org/trends/still-life
",2008,9
"http://www.trendlist.org/trends/still-life
",2007,3
"http://www.trendlist.org/trends/still-life
",N/A,18214285714286
"http://www.trendlist.org/trends/stars
",2014,3
"http://www.trendlist.org/trends/stars
",2013,6
"http://www.trendlist.org/trends/stars
",2012,18
"http://www.trendlist.org/trends/stars
",2011,6
"http://www.trendlist.org/trends/stars
",2010,12
"http://www.trendlist.org/trends/stars
",2009,3
"http://www.trendlist.org/trends/stars
",2008,9
"http://www.trendlist.org/trends/stars
",N/A,27321428571429
"http://www.trendlist.org/trends/diamonds
",2014,9
"http://www.trendlist.org/trends/diamonds
",2013,4
"http://www.trendlist.org/trends/diamonds
",2011,9
"http://www.trendlist.org/trends/diamonds
",2010,13
"http://www.trendlist.org/trends/diamonds
",2008,4
"http://www.trendlist.org/trends/diamonds
",N/A,4675
